questions,answers
What are inexhaustible natural resources ?,"These resources are present in unlimited quantity in nature and are not likely to be exhausted by human activity. e.g., sunlight, air."
What are exhaustible natural resources ?,"The amount of these resources in nature are limited. They can be exhausted by human activities. e.g., coal, petroleum, natural gas."
What are fossil fuels ?,"Some exhaustible natural resources are formed from the dead remains of living organisms. Hence, these are all known as fossil fuels."
What happens when coal is heated in air ?,"When coal gets heated in air, it burns and produces mainly carbon dioxide gas."
Name some useful products obtained from coal when it is processed in industry.,"Coal is processed in industry to get some useful products such as coke, coal-tar and coal gas."
Write one use of coal.,Coal is also used in thermal power plants to produce electricity.
When was coal gas first used for street lightning in London ?,Coal gas was used for street lighting for the first time in London in 1810 and in New York around 1820.
Where is oil found in India ?,"Oil is found in India at Assam, Gujarat, Mumbai High and in the river basins of Godavari and Krishna."
Why petroleum is also called black gold ?,"Due to its great commercial importance, petroleum is also called ‘Black Gold’."
What are the uses of diesel ?,"Diesel is used as fuel for heavy motor vehicles, electric generators etc."
