questions,answers
In which list of the Indian Constitution does education come ? Why ? ,Education comes under concurrent list so that both the centre and the states can legislate on any aspect of education.  1
What status has been given to Hindi by the Constitution of India ? ,Official language of the the country.  1
Much of the official work in Indian states is done in which language ? ,Much of the official work is done in the official language of the concerned State.
What is the official post for the chairperson of a Municipal Corporation ?,Mayor. 
Which local body has a ‘Mayor’ as its head ? ,Municipal Corporation.
By which name the rural local government is popularly known ?,Panchayati Raj.
Which state in India has a special status,Jammu and Kashmir. Kashmir.
"How many other languages are recognised as Scheduled Languages by the constitution, besides Hindi ?",22.
The system of Panchyati Raj works at which levels ?,"The village, block and district levels."
Name the process where power is taken away from Central and State Governments and given to local government.,Decentralization.
Which Indian state has its own Constitution ?,Jammu and Kashmir. Kashmir.
