questions,answers
"Complete the sentence: India, China and other developing countries were exempted from the requirements of the _________ _________ .",Kyoto Protocol.
"State True or False: West Asia, Specifically the Gulf region, accounts for about 30% of global oil production.",True.
"Correct and rewrite the statement: Resource politics is all about who gets what, when, where and how.","Resource Geopolitics is all about who gets what, when, where and how."
"Match the following: ‘A’ i. ii. iii. iv.  G-8 meeting Antarctica Ocean floor, outer space, earth’s atmosphere The Rio Summit War over Yamruk River  ‘B’ a. b. c. d.  Global Commons June 2005 Israel, Syria, Jordon Agenda 21 ","(i) – (b), (ii) – (a), (iii) – (d), (iv) – (c)."
When did India signed Kyoto Protocol?,In the year 2002.
Write full form of UNFCCC.,United Nations Framework Convention on Climate Change.
Write full form of UNEP.,United Nations Environment Programme. 
Write full name of CFC.,Chloro Fluoro Carbon.
Write full name of WWF.,World Wildlife Fund.
How many countries took part in the ‘Earth summit’?,170 countries.
Against which company of Philippines was campaign held?,Western Mining Corporation.
When were environment related issues taken up seriously?,From the decade 1960.
For what the word ‘Indigenous people’ in India used for?,For Scheduled Tribes.
What is the contribution of ‘indigenous people’ to the total population of country?,8 per cent.
What has encompassed issues of environment and national resources?,Issues of environment and national resources have been included to world politics.
Which book was published by ‘The Club of Rome’?,‘The Club of Rome’ published a book entitled ‘Limits to Growth’.
What is ‘The Club of Rome’?,‘The Club of Rome’ is a global think tank that deals with a variety of international issues including environment.
What is Earth Summit?,United Nations Conference on Environment and Development held in June 1992 was called as ‘Earth Summit’.
Who all took part in Earth Summit?,"The Earth Summit was attended by 170 states, thousands of NGOs and many multinational corporations."
How do critics view ‘Agenda-21’? ,Some critics have pointed out that Agenda 21 was biased towards economic growth rather than ensuring ecological conservation.
What was told in the report titled ‘Our Common Future’?,This report had warned that traditional patterns of economic growth would not be sustainable in the long term.
What is ‘Global Commons’?,"There are some areas or regions of the world which are located outside the sovereign jurisdiction of any one state, and therefore require common governance by international community. They are known as ‘global commons’."
Which agreements have been signed for the protection of environment?,"There have been many agreements for the protection of environment such as the 1959 Antarctic Treaty, the 1987 Montreal Protocol, and the 1991 Antarctic Environment Protocol."
What incident of mid-1980s revealed the dangers inherent in tackling global environmental problems?,The discovery of the hole in the ozone layer above the Antarctica in the mid 1980s was an opener to the whole world to the dangers inherent in tackling global environmental problems.
What is Kyoto Protocol? ,The Kyoto Protocol is an international agreement linked to UN’s framework convention on climate change which commits its members by conferring them with emission reduction targets.
What is the Global Warming?,World’s temperature rises due to the influence of Global Warming.
Which countries have been exempted from the requirement of the Kyoto Protocol?,"China, India and other developing countries were exempted from the requirement of the Kyoto Protocol."
When and where was world’s first anti-dam movement launched?,"The early 1980s saw the first anti-dam movement launched in the North, namely, the campaign to save the Franklin River and its surrounding forests in Australia. "
The Antarctic continental region extends over how many square kilometers?,The Antarctic continental region extends over 14 millions square kilometers.
Which countries claimed Antarctica?,"Britain, Argentina, Chile, Norway, France, Australia and New Zealand."
Name the gases responsible for the Global Warming.,"Carbon dioxide, Methane and Hydro-fluoro carbons."
What is the main cause of climatic change and global warming?,Industrialisation is the main cause for climatic change and Global warming.
Among which countries was struggle regarding water distribution observed?,"Between Israel, Syria and Jordan."
What is the per cent of indigenous people of the total population in India?,Indigenous people are 8 per cent of the total population in India.
Give examples of Global Common.,"Examples of Global Common are earth’s atmosphere, Antarctica, the Ocean floor and outer space.  "
