questions,answers
What does ‘Silk Route’ refer refer to ?,Network of routes connecting Asia with Europe and Northern Africa.
Who discovered the continent of America ?,Christopher Columbus.
Who was a well-known pioneer of mass production ?,Henry Ford.
"Identify the group of the countries, which was known as Axis powers during the Second World War ?","Nazi Germany, Japan and Italy."
How did Rinderpest re reach ach Africa,Through cattle that was imported to British Asia to feed Italian soldiers.
Which country has an effective right of VETO over IMF and World Bank ?,USA.
Which crop was not known to our ancestors until about five centuries ago ?,Potato. the British
What do we call the law that allowed the Government to restrict the import of corn ?,Corn Laws.
Till the discovery of which place potatoes were were not known to people in Asia a nd Europe? Europe?,America. the most powerful weapon used by
What was the the Spanish to conquer America ?,"Germs, for example : germs of small pox."
