questions,answers
We were imaging a time when clean air and water may no longer be available. Why ?,Due to environmental pollution.
Write the composition of air by volume.,"78% is nitrogen and about 21% of oxygen, 0.9% argon, 0.3% CO2, rest other gases. 1"
What are air pollutants ?,The substances that contaminate the air are called air pollutants.
How are vehicles responsible for air pollution ?,"Vehicles produce high level of pollutants such as carbon monoxide, carbon dioxide, nitrogen oxide and smoke."
What is smog ?,"A thick fog like layer in the atmosphere especially during winters, which is made of smoke and fog is called smog."
What steps are taken by this Supreme Court to save Taj Mahal ?,It has ordered industries to switch to cleaner fuels like CNG & LPG. The automobiles should switch over to unleaded petrol in Taj zone.
Define greenhouse effect.,The trapping of radiations from sun rays by earth’s atmosphere is called greenhouse effect.
What is Kyoto Protocol ?,Kyoto Protocol is an agreement to reduce the emission of green house gases.
Name few alternative fuels to reduce pollution.,CNG & LPG.
Define potable water.,Water that is suitable for drinking.
What is chlorination ?,Chlorination is a commonly used chemical method for purifying water.
Who organized ‘Say no to cracker campaign’?,Children from many school organized ‘‘Say no to cracker’’ to reduce air pollution during Diwali.
