questions,answers
Which regions of India have well developed terrace farming ? ,Ans.		Western and central Himalayas  1 
Which soil types is made up of lava flows ? ,Black soil.
In which states has mining caused severe land degradation ?,"Jharkhand, Chhattisgarh, Madhya Pradesh and Odisha."
What is the percentage share of plains in the total land area ?,43%.
What is the main cause of land degradation in Punjab ?,Over irrigation.
In which states is black soil found ?,"Maharashtra, Saurashtra, Malwa, Madhya Pradesh and Chhattisgarh."
Which soil is ideal for growing cotton ?,Regur soil.
In which states overgrazing is responsible for land degradation ?,"Madhya Pradesh, Rajasthan, Gujarat and Maharashtra."
Which soil is known as regur soil ?,Black soil.
In which states laterite soil is found ?,"Karnataka, Kerala, Tamil Nadu, Madhya Pradesh, and hilly areas of Odisha and Assam."
Which soil type is the result of intense leaching due to heavy rainfall ?,Laterite soil.
Name the land with deep channels that is unfit for cultivation.,Bad land.
Q. 13 ‘Laterite’ has been derived from which word and what is its meaning ?,It has been derived from `Later’ a latin word which means brick.
Which state has the largest area under black soil ?,Maharashtra.
What are the methods of checking soil erosion ?,"Strip cropping, terrace farming and contour ploughing."
Gully erosion is common in which basin ?,Chambal Basin.
