questions,answers
Expand FYM.,Farm Yard Manure.
Name the two types of manure on the basis of the kind of biological material involved., Compost and vermicompost.  Green manure.
What is organic farming ?,"It is a farming system with minimal or no use of chemicals and with maximum input of organic manures, recycled farm wastes and bio-agents with healthy cropping system."
Name a bio-pesticide.,Neem.
Why do droughts occur ?,Because of scarcity or irregular distribution of rains.
What is mixed cropping ?,Mixed cropping is growing two or more crops simultaneously on the same piece of land.
What is the main benefit of mixed cropping ?,It reduces risk and gives some insurance against failure of one of the crops.
What is inter-cropping ?,It is growing two or more crops simultaneously on the same field in a definite pattern. 1 Mark each
What is crop-rotation ?,It is growing different crops on a piece of land in a pre-planned succession.
Give an example of the crops grown in two-year rotation.,Maize-potato-sugarcane-peas.
How are diseases in plants caused ?,"Diseases in plants are caused by pathogens such as bacteria, fungi and viruses."
Name the biotic factors responsible for storage losses in agricultural produce.,"Insects, rodents, fungi, mites and bacteria."
What is Organic farming ? ,"It is a farming system with minimal use of chemicals and maximum input of organic manures, recycled farm wastes, and bioagents with healthy cropping systems."
What do you understand by the term photoperiod? ,"It is daily duration of light hours, which also affects plants’ growth along with climatic conditions, temperature etc. It is the duration of light required by plants for doing their normal activities."
