questions,answers
Which two areas of India produce oranges mainly ? ,Nagpur and Cherapunjee.
Which crop is the major crop of rabi ? ,Wheat.
By which other name is ‘slash and burn’ agriculture known ? ,Primitive subsistence farming/Jhumming.  1
India is the largest producer as well as consumer of which agricultural product in the world ? ,Pulses.
In which type of soil does maize grow well ?,Old alluvial.
Which crop is grown with the onset of monsoons and are harvested in the month of September and October ?,Kharif.
Name some rabi crops.,"Wheat, barley, peas, gram and mustard."
"In which system of agriculture, a single crop is grown on a large area ?",Plantation agriculture.
Name some plantation crops.,"Tea, coffee, rubber, sugarcane and banana."
In which country the ‘slash and burn’ agriculture is known as ‘Roca’ ?,Brazil.
"Hoe, dao, digging sticks are associated with which type of farming ?",Primitive subsistence farming.
Name the crop for which India is the largest producer in the world.,Fruits and vegetables.
Which type of farming is intensive subsistence farming ?,Labour intensive farming.
Which country is the first largest producer of rice ?,China.
Name the two important wheat growing zones in India.,The Ganga-Satluj plains in the north-west and black soil region of the Deccan.
Which crop is used both as food and fodder ?,Maize.
Which crop is known as golden fibre ?,Jute.
Which state is the largest producer of ragi ?,Karnataka.
