questions,answers
What is speciation ?,"Speciation is the evolution of reproductive isolation among once interbreeding populations i.e., the development of one or more species from an existing species. "
List any two factors that could lead to speciation ? ,"Two factors that could lead to speciation are—  Genetic drift,  Reproductive isolation."
What is the only progressive trend seen in evolution ?,The only progressive trend in evolution seems to be that more and more complex body designs have emerged over a period of time.
How does creation of variations in a species promote survival ?,Favourable variation helps a species to adapt to change in their environment and they promote survival of the species.
Write the contribution of Charles Darwin in the field of evolution. ,Charles Darwin proposed that evolution of species occurred by natural selection.
How was the vegetable kale obtained from cabbage ?,Farmers carried out artificial selection of plants with slightly larger leaves in the wild cabbage and came up with a leafy vegetable called kale.
What is the main reason for evolution according to Darwin ?,"According to Darwin, evolution took place due to natural selection."
One of the examples of two analogous organs can be the wing of parrot and 		 flipper of whale  foreleg of horse 		 front leg of frog  wings of housefly., Wings of parrot and wings of housefly have similar appearance and perform similar functions. 1
"In evolutionary terms, can we say which among bacteria, spiders, fish and chimpanzee have a ‘better’ body design ? Why or why not ?","In evolutionary terms, chimpanzee has the most complex body design but it will be wrong to say that they have a better body design as all the organisms are very well adapted to their environment and have their body designs evolved according to their body adaptation."
70% of individuals in a population of hydra show long tentacles whereas 10% of individuals in the same population show short tentacles. Which trait is likely to have arisen earlier ?,Long tentacles.
