questions,answers
Due to which reason the latest models of different items are available within our reach ? ,"Due to globalisation, the latest models of digital camera, mobile phone, TV etc are available with us."
Why are MNCs setting their customer care centers in India ? ,MNCs are setting up their customer care centers in India due to availability of cheap skilled labour and good English speaking people.
How many countries are currently the members of the World Trade Organization  ?,"It has 164 member countries as on 29 July, 2016. 1"
"Q. 4.		In which year, the government started to remove barriers on foreign trade and foreign investment.",In 1991.
Why are the Chinese Toys popular in the world ?,Chinese Toys are comparatively cheaper and have new designs. That is why they are popular in the world.
Name the organization which lay emphasis on liberalisation of foreign trade and foreign investment in India.,World Trade Organization .
Where is the main Head Office of WTO ?,Geneva-Switzerland.
"Cargill foods a very large American MNC, has bought over smaller Indian companies such as :",Parakh foods.
Removing barriers or restrictions set by the government is known as :,Liberalisation.
What is the aim of the Special Economic Zones  developed by the government ?,To attract foreign companies to invest in India.
What is a basic function of foreign trade ?,It gives opportunity to reach beyond the domestic market.
What is tax barrier ?,Imposing import duty or any restriction on foreign goods.
Manufacturer of which item has been hit hard due to globalisation ?,Plastics.
Which changes have occurred in India due to the adaptation of the policy of liberalisation and globalisation ?,There is great choice before the consumers.
What is the main purpose of trade barrier ?,To safeguard the domestic producers.
What was the main aim to form ‘World Trade Organization’ ?,To liberalise international trade.
