questions,answers
Mention any one feature of the oldest japanese book. ,Ans.		Oldest Japanese book contained six sheets of text and woodcut illustrations.  1
How were Biliotheque bleue different from penny chap books ? ,Ans.		Both were low priced books printed on poor quality paper but the Biliotheque Bleue were bounded in cheap blue covers.  1
"Name the first book printed by Johann Gutenberg. [DDE-2015, Set-E)]",Bible.
Give the ancient name of Tokyo. ,Edo.
How did Louise Sebestian Mercier interpret the printing press ? ,He said that ‘printing press is the most powerful engine of progress and public opinion is the force that will sweep despotism away.
Who developed the first printing press ? ,Johann Gutenberg.
Which method of hand-printing was developed in China ? ,Woodblock printing.
Why were cheap paperback editions of books print by the end of eighteenth century ? ,So that poor people could buy them.
Who introduced hand-printing technology in Japan ? ,Buddhist missionaries from China.
What is Calligraphy ? ,The art of beautiful and stylish writing. 
By whom was the Ninety-five Theses written in 1517 ?,Martin Luther.
What do we call the wooden or metal frames in which types are laid and the text is imposed for printing ?,Galley.
Which is the oldest printed Japanese book ? ,Diamond Sutra.
“Printing is the ultimate gift of God and the greatest one”. Who spoke these words ?,Martin Luther.
Name the first book which was printed in Europe.,The Bible.
Who was Martin Luther ?,Religious reformer of Germany.
What was the basic objective of spelling penny chapbook in England ?,So that the poor people can purchase them.
What were the books carried by petty pedlars and sold for a penny were known in England ?,Chapbooks.
On which laws the Vernacular Press Act of 1878 was modelled ?,Irish Press Laws.
What was the cheap book known in France ?,Biliotheque Bleue.
Which religious reformer criticised the practices of the Roman Catholic Church ?,Martin Luther.
Who was the enlightment thinker whose writings are said to have created conditions for a revolution in France ?,Rousseau.
Who agreed to revise Press Laws in 1835 ?,Governor General Bentinck.
In which country was the earliest kind of print technology developed ?,China.
