,questions,answers
0,Q. 1. Name the alliance formed by the Congress Party. ,Ans. United Progressive Alliance .
1,Q. 2. Which party was the principal opposition party in Lok Sabha in 2004 ? ,Ans. Bharatiya Janata Party .
2,Q. 3. What is the guiding philosophy of Bharatiya Janata Party ?  1 mark each,Ans.  Cultural nationalism.  India’s ancient culture and values.  ½ × 2 = 1
3,Q. 4. The Bahujan Samaj Party stands for what ?  Cause.,Ans. Securing the interest of the oppressed people.
4,Q. 5. What is the requirement laid down by the Election Commission for a political party to be recognized as a ‘State Party‘ ? ,Ans. A party that secures at least six percent of the total votes in an election to the Legislative Assembly of a state and wins at least two seats is recognized as a state party. 
5,"Q. 6. Name any one political party that has national level political organization but not recognized as the national political party. [Board Term-II erm-II,, Delhi Set-I, II, III, 2016]",Ans. Samajwadi Party / Samata Party / Rashtriya Janata Dal  1
6,Q. 7. Name any two regional parties of West Bengal. ,Ans. Two regional regional parties of West Bengal Bengal are :  Marxist Forward Bloc  Trinmool Congress.
7,Q. 8. When was the Communist Party of IndiaMarxist  formed?,Ans. 1964.
8,Q. 9. How many parties are registered with the Election Commission of India?,Ans. More than 750.
9,Q. 10. The BJP formed the government in 1998 as the leader of an alliance. Name the alliance.,Ans. National Democratic Alliance.
10,Q. 11. When and under whose leadership was Bahujan Samaj Party  formed?,"Ans. 1984, Kanshi Ram."
11,Q. 12. What is the criteria to recognise as a National political party in India ?,Ans. 6% votes in Lok Sabha or Assembly election in four states and 4 seats in Lok Sabha.
