questions,answers
What is a nuclear fusion reaction ? List any two advantages of nuclear fusion reactions. ,A reaction in which two nuclei of lighter elements combine to form a heavy nucleus with a liberation of tremendous amount of energy. Two advantages :  Large amount of energies produced from a very small amount of fuel.  Produces non-pollutant waste/does not produce gases which pollute the environment/cause green house effect.
List four gases generated in a biogas plant. , Hydrogen  Hydrogen sulphide ½ + ½  Methane  Carbon dioxide.
Mention the main use of slurry left behind in the biogas of plant. State the characteristics of the slurry on which this use is based. ,Slurry is used as a manure. Slurry is rich in nitrogen and phosphorus.
Give two advantages of using nuclear energy. ,Two advantages of using nuclear energy are :  Very small mass of Uranium yields tremendous energy.  The released energy can be used to produce steam and further generate electricity.
State any three characteristics of a good source of energy. Name the gaseous fuel which has the highest calorific value. ,Characteristics of Good Source of Energy :  Large amount of work per unit volume/mass. 1½  Easily available  Easy to transport. Gaseous fuel of highest calorific value is hydrogen.
Name the major constituent of biogas. List three characteristics to prove it as an excellent fuel.  ,Methane is the major constituent of biogas. Three characteristics to prove it as an excellent fuel :  Smokeless  Leaves no residue  Higher heat of combustion.
List any four qualities of an ideal source of energy. ,Qualities of an Ideal Source of Energy :  More heat per unit mass.  Less Pollution and smoke free.  Cheap and Economical.  Easily available and easily handled.  Safe to transport. 
Why is charcoal considered to be a better fuel than wood ? ,Charcoal is better fuel than wood because :  It is smokeless and leaves no residue.  It has a higher heat of combustion.
List any two disadvantages of using fossil fuels. ," Burning of coal or petroleum products lead to air pollution.  The oxides of C, N and S are released on burning fossil fuels as acidic oxides. It leads to acidic rain and affect water and soil."
Fossil fuels are classified as non-renewable sources of energy. Why ?,"Fossil fuels like coal, petroleum, natural gas, etc., if exhausted, cannot be generated rapidly as they take millions of years to form again."
Large scale use of nuclear energy becomes prohibitive due to some hazards. State any two major hazards associated with a nuclear power plant. ,Storage and disposal of spent or used fuels which decay into sub-atomic particles with harmful radiations. Nuclear waste storage and disposal result in environment contamination or accidental leakage of nuclear radiations.
"Wood takes a long time to grow, but even then it is considered a renewable source of energy. Comment.","Although wood takes a long time, approximately 20 years, to grow, it is considered a renewable source of energy because the time taken is much smaller as compared to non-renewable sources of energy like– coal, petroleum, etc which take millions of years. 2"
Why does a car parked in sunlight remains hot from inside even when there is no sunlight in the car ?,"The glass windows have the peculiar property to pass radiations which have wavelength near to the visible light or shorter wavelength. It does not allow infra-red radiations of higher wavelength. Since the sun sends infra-red radiations of lower wavelengths, these pass through the glass windows, and gets trapped inside the car in the form of heat. This heat or infra-red radiations can not pass out and thus gets trapped in the car for longer time, making it hot from inside."
"Out of the two elements A and B with mass number 2 and 235 respectively, which one is suitable for making :  a nuclear reactor  a hydrogen bomb. Name the nuclear reaction involved in each case. Write one difference between the two types of nuclear reactions. ","S. No. Renewable Energy Non-Renewable Energy  Sources that can be Sources that will get regenerated. depleted.  These are inex- These are exhaustible as haustible sources. they are limited.  eg. energy from sun, e.g. coal, petroleum. wind. 		  1 + 1 + 1"
