questions,answers
Who was Nelson Mandela?,"Nelson Mandela was the leader of African National Congress (ANC). He remained in jail for 28 years in South Africa’s most dreaded prison, Robben Island opposing the apartheid regime."
Who were called ‘blacks’ in South Africa?,"The native people of South Africa are black in colour, they made up about three-fourth of the population and were called ‘blacks’."
How non-whites were treated in South Africa?,The white rulers treated all non–whites as inferiors. The non-whites did not have voting rights.
What was ANC?,"It was African National Congress, an umbrella organisation that led the struggle against the policies of segregation. This included many workers’ unions and the Communist Party."
With which rules trust was built between blacks and whites in South Africa?,These rules determine what the elected governments are empowered to do and what they cannot do. They also decided the right of the citizens.
What is this set of basic rules called?,This set of basic rules is called a ‘Constitution’.
What is a ‘Constitution’?,The Constitution of a country is a set of written rules that are accepted by all the people living together in a country.
Why is Constitution considered the Supreme law?,The Constitution is the supreme law that determines the relationship among people living a territory (called citizens) and also the relationship between the people and the government.
How difficult it was for India to frame a constitution for united India after independence? ,At that time the people of India were emerging from the status of subjects to that of citizens. The country was born through a partition on the religious basis. This was a traumatic experience for the people of India and Pakistan.
Who was the first one to draft a constitution for India?,"In 1928, Motilal Nehru and eight other Congress leaders drafted a constitution for India."
"What resolution was made in 1931, Karachi session?","In 1931, the resolution at the Karachi session of the Indian National Congress dealt on how independent India’s constitution should look like."
What was ‘Constituent Assembly’?,The drafting of the document called the ‘constitution’ was done by an assembly of elected representatives called the Constituent Assembly.
In which manner Constituent Assembly worked?,"The Constituent Assembly worked in a systematic, open and consensual manner."
Why was a drafting committee formulated? Who was its Chairman?,The drafting Committee was formed to prepare a draft of the constitution for discussion. Its Chairman was Dr. B.R. Ambedkar.
Who was the Chairman of the Constituent Assembly?,Dr. Rajendra Prasad was the Chairman of the Constituent Assembly.
What features formed the foundation for India’s democracy?,"The Values that inspired and guided the freedom struggle and were then nurtured by it, formed the foundation for India’s democracy."
What is Preamble?,"The Preamble is like preface of a book, it is the soul of the Indian Constitution. It gives in brief all the laws and action of the government."
What does ‘Sovereign’ mean?,It means people have supreme right to make decisions on internal as well as external matters. No external power can dictate the government of India. 
What does ‘Socialist’ in a democratic Constitution mean?,Wealth is generated socially and should be shared equally by society. Government should try to reduce socio-economic inequalities.
What is the meaning of the form ‘Secular’?,"Citizens have complete freedom to follow any religion. But there is no official religion. Government treats all religions, beliefs and practices with equal respect."
What does ‘democratic’ mean?,"It is a form of government where people enjoy equal political rights, elect their rulers and hold them accountable."
What does ‘Equality’ term mean in the Indian Constitution?,All are equal before the law. The traditional social inequalities have to be ended. The government should ensure equal opportunities for all.
What does the term ‘Fraternity’ signify in the Preamble?,All of us should behave as if we are members of the same family. No one should treat a fellow citizen as inferior.
What are ‘Constitutional Amendments’?,Provisions are made to incorporate changes from time to time in our constitution. These changes are called ‘Constitutional Amendments’.  
