questions,answers
Name any one river valley project which has significantly contributed to the loss of forests. ,Sardar Sarovar Dam.
How much of the earth surface is covered with water ?,About 3/4th.
Write the major source of fresh water in India ?,Ground water.
How much percent of the total volume of world’s water is estimated to exist as fresh water ?,2.5 percent.
What percentage of the total volume of world’s water is estimated to exist as oceans ?,96.5%.
"What is the interpretation of Falken mark, a Swedesh expert about water stress and water availability ?","He interpreted that water stress occurs when water availability is between 1,000-1,600 cubic metre per person per year."
What are the causes of water scarcity ?,"Rapid growth of population, uneven distribution of water resources and increase in demand of water."
Which largest artificial lake was built in 11th century ?,Bhopal lake.
On which river has Hirakud Dam been constructed ?,River Mahanadi.
On which river ‘Bhakhra Nangal Dam’ has been constructed ?,River Satluj.
Who proclaimed dams as the temple of modern India ?,Jawaharlal Nehru.
Which river is known as the river of sorrow ?,Damodar river.
Name two social movements which were against the multi purpose projects.,Narmada Bachao Andolan and Tehri Dam Andolan.
Nagarjuna Sagar Dam is built on which river ?,Krishna.
On which river Salal Dam is built ?,Chenab.
In which regions the release of water from dams during heavy rains aggravated the flood situation in 2006 ?,Maharashtra and Gujarat.
