,questions,answers
0,Q. 1. Which regions of India have well developed terrace farming ? ,Ans.		Western and central Himalayas  1 1 mark each
1,Q. 2. Which soil types is made up of lava flows ? ,Ans. Black soil.
2,Q. 3. In which states has mining caused severe land degradation ?,"Ans. Jharkhand, Chhattisgarh, Madhya Pradesh and Odisha."
3,Q. 4. What is the percentage share of plains in the total land area ?,Ans. 43%.
4,Q. 5. What is the main cause of land degradation in Punjab ?,Ans. Over irrigation.
5,Q. 6. In which states is black soil found ?,"Ans. Maharashtra, Saurashtra, Malwa, Madhya Pradesh and Chhattisgarh."
6,Q. 7. Which soil is ideal for growing cotton ?,Ans. Regur soil.
7,Q. 8. In which states overgrazing is responsible for land degradation ?,"Ans. Madhya Pradesh, Rajasthan, Gujarat and Maharashtra."
8,Q. 9. Which soil is known as regur soil ?,Ans. Black soil.
9,Q. 10. In which states laterite soil is found ?,"Ans. Karnataka, Kerala, Tamil Nadu, Madhya Pradesh, and hilly areas of Odisha and Assam."
10,Q. 11. Which soil type is the result of intense leaching due to heavy rainfall ?,Ans. Laterite soil.
11,Q. 12. Name the land with deep channels that is unfit for cultivation.,Ans. Bad land.
12,Q. 13 ‘Laterite’ has been derived from which word and what is its meaning ?,Ans. It has been derived from `Later’ a latin word which means brick.
13,Q. 14. Which state has the largest area under black soil ?,Ans. Maharashtra.
14,Q. 15. What are the methods of checking soil erosion ?,"Ans. Strip cropping, terrace farming and contour ploughing."
15,Q. 16. Gully erosion is common in which basin ?,Ans. Chambal Basin.
