questions,answers
What makes things visible ?,Light makes things visible.
What is mirror ?,A polished or a shiny surface can act as a mirror.
What is the relation between angle of incidence and angle of reflection ?,The angle of incidence is always equal to angle of reflection.
What is lateral inversion ?,"In an image formed by a mirror, the left side appears on the right side and the right side appears on the left side. This is known as lateral inversion."
What are multiple images ?,Images formed by mirrors placed at an angle to one another are called multiple images. 1
What is sunlight ? How many colours it consists of ?,The sunlight is referred to as white light. It consists of seven colours.
Where is image formed in human eye ?,Image is formed on retina in human eye. 1
What is the work of iris ?,Iris controls the amount of light entering into the eye through the pupil.
How may kinds of nerve cells are there in retina ?,There are two kinds of cells.  Cones : Sensitive to bright light.  Rods : Sensitive to dim light. 
Who invented the system of reading for blind people ?,Louis Braille invented the system of reading for blind people.
At what angles are mirrors inclined in a Kalaeidoscope and a periscope respectively ?,Kaleidoscope – 60° Periscope – 45°
