,questions,answers
0,Q. 1. Name the alliance formed by the Congress Party. ,Ans. United Progressive Alliance .
1,Q. 2. Which party was the principal opposition party in Lok Sabha in 2004 ? ,Ans. Bharatiya Janata Party . 
2,Q. 3. Name any one political party that has national level political organization but not recognized as the national political party. ,Ans. Samajwadi Party / Samata Party / Rashtriya Janata Dal  1
3,Q. 4. Name any two regional parties of West Bengal. ,Ans. Two regional parties of West Bengal are :  Marxist Forward Bloc  Trinmool Congress.
4,Q. 5. What is the guiding philosophy of Bharatiya Janata Party ? ,Ans.  Cultural nationalism.  India’s ancient culture and values.  ½ × 2 = 1
5,Q. 6. What is the requirement laid down by the Election Commission for a political party to be recognized as a ‘State Party‘ ? ,Ans. A party that secures at least six percent of the total votes in an election to the Legislative Assembly of a state and wins at least two seats is recognized as a state party. 
6,Q. 7. The Bahujan Samaj Party stands for the cause of : ,Ans. Securing the interest of the oppressed people.
7,Q. 8. When was the Communist Party of India-Marxist  formed?,Ans. 1964.
8,Q. 9. How many parties are registered with the Election Commission of India?,Ans. More than 750.
9,Q. 10. The BJP formed the government in 1998 as the leader of an alliance. Name the alliance.,Ans. National Democratic Alliance.
10,Q. 11. When and under whose leadership was Bahujan Samaj Party  formed?,"Ans. 1984, Kanshi Ram."
11,Q. 12. What are the criteria to recognise as a National Political Party in India ?,Ans. 6% votes in Lok Sabha or Assembly election in four states and 4 seats in Lok Sabha.
12,Q. 13. What are those parties which are given the special privilege of ‘Election Symbol’ and other facilities called ?,Ans. National parties.
13,Q. 14. Which institution has passed an order making it necessary for political parties to hold their organizational elections and file their income tax returns ?,Ans. Supreme Court.
14,Q. 15. Which party is a recognized National Party ?,Ans. Parties recognized by Election Commission with conditions.
15,Q. 16. When was the Nationalist Congress Party formed ?,Ans. 1999.
16,Q. 17. What is an ‘Alliance’ ?,Ans. Several parties join hands to contest elections.
17,Q. 18. Who allots symbols to Political Parties ?,Ans. The Election Commission.
18,Q. 19. Which party has the most impressive election record in the state of West Bengal ?,Ans. Communist Party of India-Marxist . 
