questions,answers
Who worked for industrialists to get new recruits ?,Jobber.
In which year did the first cotton mill in Bombay  come up ?,1854.
Where was the first cotton mill set up in India ?,Bombay.
Where were most of the large scale industries located in 1911 ?,Bengal and Bombay.
What was ‘Spining Jenny’ ?,A machine which speeded up the spinning process and reduced the labour demands.
Name any one problem faced by cotton weavers in India.,They did not have good quality of cotton.
Why did the aristocrats and bourgeoisie prefer hand-made goods in Victorian Britain ?,They symbolised refinement and class. 
When did the exports of British cotton goods increase dramatically ?,In the early 19th century.
"Identify the person who got people from village, ensured them jobs, helped them settle in cities and provided them money in times of need.",Jobber.
Where was the first Indian Jute mill set up ?,Bengal.
Write down any one duty of Gomasthas ?,Supervising weavers.
Who set up the first Indian Jute Mill in Calcutta in 1917 ?,Seth Hukumchand.
What was the paid servant whom the company appointed to supervise weavers called ?,Gomastha.
Which was the pre-colonial ports of India ?,"Masulipatanam, Surat and Hoogly.  1"
