question,answer,context
Define fertilization.,The fusion of ovum and sperm is called fertilization.,"Fertilisation The first step in the process of reproduction is the fusion of a sperm and an ovum. When sperms come in contact with an egg, one of the sperms may fuse with the egg. Such fusion of the egg and the sperm is called fertilisation (Fig. 9.5). During fertilisation, the nuclei of the sperm and the egg fuse to form a single nucleus. This results in the formation of a fertilised egg or zygote (Fig. 9.6). Did
 "
Which babies are known as test-tube babies ?,Babies born through test-tube technique are called test-tube babies.,"Have you heard of test tube babies? Boojho and Paheli’s teacher once told them in the class that in some women oviducts are blocked. These women are unable to bear babies because sperms cannot reach the egg for fertilisation. In such cases, doctors collect freshly released egg and sperms and keep them together for a few hours for IVF or in vitro fertilisation (fertilisation outside the body). In case fertilisation occurs, the zygote is allowed to develop for about a week and then it is placed in the mother’s uterus. Complete development takes place in the uterus and the baby is born like any other baby. Babies born through this technique are called test-tube babies. This term is actually misleading because babies cannot grow in test tubes.
 "
What is meant by ovulation ?,Release of ovum from ovary is called ovulation.,"female gametes called ova (eggs) (Fig. 9.4). In human beings, a single matured egg is released into the oviduct by one of the ovaries every month. Uterus is the part where development of the baby takes place. Like the sperm, an egg is also a single cell.
 Sperms
 Ovum
 Ovulation
 "
What is the function of tail in a sperm ?,The tail of sperm helps it to swim to reach the egg.,"Tail Fig. 9.2 : Human sperm
 What purpose does the tail in a sperm serve? Sperm duct
 What purpose does the tail in a sperm serve? Sperm duct
 "
What is embryo ?,"When zygote after repeated division starts to form group of different tissues and organs, it is called embryo.","Development of Embryo Fertilisation results in the formation of zygote which begins to develop into an embryo [Fig. 9.8(a)]. The zygote divides repeatedly to give rise to a ball of cells [Fig. 9.8(b)]. The cells then begin to form groups that develop into different tissues and organs of the body. This developing structure is termed an embryo. The embryo gets embedded in the wall of the uterus for further development [Fig. 9.8(c)]. The embryo continues to develop in the uterus. It gradually develops body
 Uterus
 Ovary Zygote
 "
What is foetus ?,The stage of embryo in which all the body parts can be identified is called a foetus.,"parts such as hands, legs, head, eyes, ears etc. The stage of the embryo in which all the body parts can be identified is called a foetus (Fig. 9.9). When the development of the foetus is complete, the mother gives birth to the baby.
 "
Write different stages in life cycle of frog.,Eggs  Early tadpole  Late tadpole  Adult frog.,"(b) Early tadpole (a) Eggs
 (c) Late tadpole
 (c) Late tadpole
 (d) Adult frog Fig. 9.10 : Life cycle of frog 106
 "
Write two types of asexual reproduction.,"Budding, Binary Fission.","REPRODUCTION BINARY FISSION
 "
What is cloning ?,"Cloning is the production of an exact copy of a cell, any other living part or a complete organism.","reproduction in which an animal reproduces by dividing into two individuals is called binary fission. Apart from budding and binary fission,
 there are other methods by which a single parent reproduces young ones. You will study about these in your higher classes.
 Story of Dolly, the Clone Cloning is the production of an exact copy of a cell, any other living part, or a complete organism. Cloning of an animal was successfully performed for the first time by Ian Wilmut and his colleagues at the Roslin Institute in Edinburgh, Scotland. They successfully cloned a sheep named Dolly [Fig. 9.13 (c)]. Dolly was born on 5th July 1996 and was the first mammal to be cloned.
 Story of Dolly, the Clone Cloning is the production of an exact copy of a cell, any other living part, or a complete organism. Cloning of an animal was successfully performed for the first time by Ian Wilmut and his colleagues at the Roslin Institute in Edinburgh, Scotland. They successfully cloned a sheep named Dolly [Fig. 9.13 (c)]. Dolly was born on 5th July 1996 and was the first mammal to be cloned.
 "
What is fermentation ?,The process of conversion of sugar into alcohol is known as fermentation.,"The process of conversion of sugar into alcohol is called (i) nitrogen fixation (ii) moulding (iii) fermentation (iv) infection
 "
Identify the organism given below. Where does it reproduce ?,Ans.,"A
 "
Q. 3.,Ans.,"A
 "
"Virus. It reproduces in the host cell. Name two commonly known antibiotics. Streptomycin, tetracycline. Which microorganisms are able to fix nitrogen from the atmosphere ?",Some bacteria and blue-green algae are able to fix nitrogen from the atmosphere.,"Some bacteria present in the soil fix nitrogen from the atmosphere and convert into nitrogenous compounds.
 Ü
 Certain bacteria convert compounds of nitrogen present in the soil into nitrogen gas which is released to the atmosphere.
 "
What are pathogens ?,Disease-causing micro-organisms are called pathogens.,"microorganisms are called pathogens. Some microorganisms spoil food, clothing and leather. Let us study more about their harmful activities. Disease causing Microorganisms in Humans Pathogens enter our body through the air we breathe, the water we drink or the food we eat. They can also get transmitted by direct contact with an infected person or carried by an animal. Microbial diseases that can spread from an infected person to a healthy person through air, water, food or physical contact are called communicable diseases. Examples of such diseases include cholera, common cold, chicken pox and tuberculosis. When a person suffering from common cold sneezes, fine droplets of moisture carrying thousands of viruses are spread in the air. The virus may enter the body of a healthy person while breathing and cause infection.
 "
Name the carrier insect that carries the parasite of malaria.,Female Anopheles mosquito carries the parasite of malaria.,"Fig. 2.8 : Female Anopheles mosquito
 Malaria
 Protozoa
 Mosquito
 "
How we can prevent mosquitoes from breeding ?,"All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flowerpots etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding.","Why does the teacher keep telling us not to let water collect anywhere in the neighbourhood?
 All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flower pot, etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding. Try to make a list of measures which help to avoid the spread of malaria. 23
 All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flower pot, etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding. Try to make a list of measures which help to avoid the spread of malaria. 23
 "
How sugar preserves the food substance ?,Sugar reduces the moisture content in food which inhibits the growth of bacteria to spoil food.,"Similarly, we keep our food in the refrigerator. Low temperature inhibits the growth of microbes.
 "
