,questions,answers
0,"Q. 1. Name any one river valley project which has significantly contributed to the loss of forests. [Board Term-I, Term-I,  2014]",Ans. Sardar Sarovar Dam.
1,Q. 2. Write the major sour ce of fresh water in India ?,Ans. Ground water.
2,Q. 3. How much percent of the total volume of world’s water is estimated to exist as fresh water ?,Ans. 2.5 percent.
3,Q. 4. What percentage of the total volume of world’s water is estimated to exist as oceans ?,Ans. 96.5%.
4,Q. 5. What are the causes of water scarcity ?,"Ans. Rapid growth of population, uneven distribution of water resources and increase in demand of water."
5,Q. 6. Which largest artificial lake was built in 11 th century ?,Ans. Bhopal lake.
6,Q. 7. On which river has the Hirakud Dam been constructed ?,Ans. River Mahanadi.
7,Q. 8. On which river ‘Bhakhra Nangal Dam’ has been constructed ?,Ans. River Satluj.
8,Q. 9. Who proclaimed dams as the temple of mod ern India ?,Ans. Jawaharlal Nehru.
9,Q. 10. Which river is known as the ‘River of Sorrow’ ?,Ans. Damodar river.
10,Q. 11. Name two social movements which were against the multi purpose projects.,Ans. Narmada Bachao Andolan and Tehri Dam Andolan.
11,Q. 12. The Nagarjuna Sagar Dam is built on which river ?,Ans. Krishna.
12,Q. 13. On which river the Salal Dam is built ?,Ans. Chenab.
13,Q. 14. In which regions the release of water from dams during heavy rains aggravated the flood situation in 2006 ?,Ans. Maharashtra and Gujarat.
