questions,answers
Name the alliance formed by the Congress Party. ,United Progressive Alliance .
Which party was the principal opposition party in Lok Sabha in 2004 ? ,Bharatiya Janata Party . 
Name any one political party that has national level political organization but not recognized as the national political party. ,Samajwadi Party / Samata Party / Rashtriya Janata Dal  1
Name any two regional parties of West Bengal. ,Two regional parties of West Bengal are :  Marxist Forward Bloc  Trinmool Congress.
What is the guiding philosophy of Bharatiya Janata Party ? , Cultural nationalism.  India’s ancient culture and values.  ½ × 2 = 1
What is the requirement laid down by the Election Commission for a political party to be recognized as a ‘State Party‘ ? ,A party that secures at least six percent of the total votes in an election to the Legislative Assembly of a state and wins at least two seats is recognized as a state party. 
The Bahujan Samaj Party stands for the cause of : ,Securing the interest of the oppressed people.
When was the Communist Party of India-Marxist  formed?,1964.
How many parties are registered with the Election Commission of India?,More than 750.
The BJP formed the government in 1998 as the leader of an alliance. Name the alliance.,National Democratic Alliance.
When and under whose leadership was Bahujan Samaj Party  formed?,"1984, Kanshi Ram."
What are the criteria to recognise as a National Political Party in India ?,6% votes in Lok Sabha or Assembly election in four states and 4 seats in Lok Sabha.
What are those parties which are given the special privilege of ‘Election Symbol’ and other facilities called ?,National parties.
Which institution has passed an order making it necessary for political parties to hold their organizational elections and file their income tax returns ?,Supreme Court.
Which party is a recognized National Party ?,Parties recognized by Election Commission with conditions.
When was the Nationalist Congress Party formed ?,1999.
What is an ‘Alliance’ ?,Several parties join hands to contest elections.
Who allots symbols to Political Parties ?,The Election Commission.
Which party has the most impressive election record in the state of West Bengal ?,Communist Party of India-Marxist . 
