questions,answers
What was ‘Spining Jenny’ ?,A machine which speeded up the spinning process and reduced the labour demands.
In which year did the first cotton mill in Bombay  come up ?,1854.
Where was the first cotton mill set up in India ?,Bombay.
Where were most of the large large scale industries located in 1911 ?,Bengal and Bombay Bombay..
Who worked for industrialists to get new recruits ?,Jobber Jobber..
Name any one problem faced by cotton weavers in India.,They did not have good quality of cotton.
Write down any one duty of Gomasthas ?,Supervising weavers.
When did the exports of British cotton goods increase dramatically ?,In the early 19th century.
What was the paid servant whom the company appointed to supervise weavers called ?,Gomastha.
"Identify the person who got people from village, ensured them jobs, helped them settle in cities and provided them money in times of need.",Jobber Jobber..
Why did the aristocrats and bourgeoisie prefer hand-made goods in Victorian Britain ?,They symbolised refinement and class.
