,questions,answers
0,Q. 1. Which is biodegradable ? Paper bag or polythene bag ?,Ans. Paper bag.
1,Q. 2. Define cellulose.,Ans. Cellulose is made up of a large number of glucose units.
2,Q. 3. What are natural fibres ?,"Ans. The fibres obtained by nature are called natural fibres. e.g., cotton."
3,Q. 4. What are artificial fibres ?,"Ans. The fibres made by human being are called artificial fibres. e.g., polyester."
4,Q. 5. How rayon is formed ?,Ans. Rayon is obtained by chemical treatment of wood pulp.
5,Q. 6. Name any two thermoplastic and thermosetting plastics.,"Ans. Thermoplastic – Polyethene, PVC Thermosetting – Melamine, Bakellite."
6,Q. 7. Name the material that is used to make ropes for rock climbing.,Ans. Nylon.
7,Q. 8. Why terylene is a popular polyester ?,Ans. Because it can be drawn into very fine fibre that can be woven like any other yarn.
8,Q. 9. Name the articles made from PET.,"Ans. Bottles, utensils, films, wires etc."
9,Q. 10. What is the versatility about melamine ?,Ans. It resists fire and can tolerate heat better than plastic.
