,questions,answers
0,Q. 1. What is fermentation ?,Ans. The process of conversion of sugar into alcohol is known as fermentation.
1,Q. 2. Identify the organism given below. Where does it reproduce ?,Ans.
2,Q. 3.,Ans.
3,"Q. 4. Virus. It reproduces in the host cell. Name two commonly known antibiotics. Streptomycin, tetracycline. Which microorganisms are able to fix nitrogen from the atmosphere ?",Ans. Some bacteria and blue-green algae are able to fix nitrogen from the atmosphere.
4,Q. 5. What are pathogens ?,Ans. Disease-causing micro-organisms are called pathogens.
5,Q. 6. Name the carrier insect that carries the parasite of malaria.,Ans. Female Anopheles mosquito carries the parasite of malaria.
6,Q. 7. How we can prevent mosquitoes from breeding ?,"Ans. All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flowerpots etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding."
7,Q. 8. How sugar preserves the food substance ?,Ans. Sugar reduces the moisture content in food which inhibits the growth of bacteria to spoil food.
8,Q. 9. Why are dry fruits and vegetables sold in sealed air packets these days ?,Ans. These days dry fruits and even vegetables are sold in sealed air tight packets to prevent the attack of microbes.
9,Q. 10. How animals get proteins and other nitrogen compounds ?,Ans. Animals feeding on plants get proteins and other nitrogen compounds.
