questions,answers
Which language was recognised as the only official language of Sri Lanka in 1956 ? 		Which language is spoken by majority of Sri Lankans ? 				,Sinhala.
"Which factor is responsible for increasing the feeling of alienation among the Sri Lankan, Tamils ? ",Majoritarianism.
What measure was adopted by the democratically elected government of Sri Lanka to establish Sinhala Supremacy ? ,Majoritarian measure.
What is the state religion of Sri Lanka ? ,Buddhism.
Who formed the majority in terms of population in Sri Lanka ? ,Sinhala community.
What is vertical division of powers?,Division of powers between higher and lower levels of government is called vertical division. 1 
In which country the principle of majoritarianism led to a civil war ?,Sri Lanka.
Majority of the people in Belgium speak which language ?,Dutch.
Which language is not spoken by most of the people in Belgium ?,German.
Which ethnic group is related to Belgium ?,"Dutch, French and Germans."
Which city is the capital of Belgium?,Brussels.
‘Sri Lankan Tamil’ refers to which social group ?,Tamil native of the country.
Who elects the community government in Belgium ?,People belonging to one language community only.
Name one country with which Belgium does not have borders ?,Sweden.
Which composition best explains the complex ethnic composition of Belgium ?,"It has 59% Dutch speaking, 40% French speaking and 1% German speaking people."
In which countries the participation of women in public life is very high ?,Scandinavian Countries.
How many times was the Belgium constitution amended between 1970 and 1993 ?,Four.
Which group of countries surrounds Belguim ?,"Germany, France, the Netherlands and Luxemberg."
