questions,answers
Why was States Reorganization Commission formed ? ,States Reorganization Commission was formed in 1954 to recommend creation of States on the linguistic basis.  1
How do the Central and State Governments enjoy their power in federal system ? ,"Under the unitary system, either there is only one level of government or the sub-units are subordinate to the central government whereas in federal power is distributed between centre  1 and state."
Name the country which follows ‘coming together’ style of federalism. ,USA and Australia.  1
Which subjects are included in the Union List ? ,"Defence of the nation, foreign affairs, banking, currency,, communication. currency communic ation."
Which type of government has two or more levels ?,Federal Government.
Which subjects falls under the concurrent list ?,"Marriage, education, forest, trade unions, adoption and succession."
The subject of Computer Software comes under which list ?,Residuary List.
In case of any dispute about the division of powers who can make a decision ?,The High Court and the Supreme Court can make a decision.
Which subjects are included in the State list ?,"Agriculture, police, public health, land."
Which groups of countries are an example of holding together federation ?,"India, Spain and Belgium."
The federal system serves which two dual objectives ?,"First, to safeguard and promote unity of the country and secondly, to accommodate regional diversity.1"
