questions,answers
Name the major threat to survival of great variety of plants and animals on earth.,Deforestation.
What are the factors that increases deforestation ?,Agricultural expansion and wood harvest for domestic fuel.
Less rainfall causes what ?,Drought.
What is infiltration rate ?,The movement of water from the soil surface into the ground is called infiltration rate ?
In which part of the earth living organism exists and supports life ?,Biosphere.
Name the biosphere reserve where the plants and animals are found similar to the upper Himalayan peaks.,Pachmarhi Biosphere Reserve.
Name the areas reserved for wildlife and can be used freely for habitats and natural resources.,National Park.
Name any two wildlife sanctuaries in Panchmarhi Biosphere Reserve.,"Bori, Pachmarhi."
Name the endemic flora of the Pachmarhi Biosphere Reserve.,Sal and wild mango.
Name the group of population that are capable of Inter-breeding.,Species.
