questions,answers
Name the crop for for which India is the largest producer in the world.,Fruits and vegetables.
By which name is specialized cultivation of fruits and vegetables known ? ,Horticulture.  1 ‘Jhumming cultivation’ in one
Describe sentence. ,‘Slash and burn’ agriculture in North-Eastern states of India.  1
By which other name is ‘slash and burn’ agriculture known ? ,Primitive subsistence farming/Jhumming.  1
In which country the ‘slash and burn’ agriculture is known as ‘Roca’ ?,Brazil.
"Hoe, dao, digging sticks are associated with which type of farming ?",Primitive subsistence farming.
Which is the leading coffee producer state in India ? ,Karnataka.  1
Which crop is grown with the onset of monsoons and are harvested in the month of September and October ?,Kharif.
Which crop is the major crop of rabi ? ,Wheat.
Name some rabi crops.,"Wheat, barley, barley, peas, gram and mustard."
Name the two important wheat growing zones in India.,The Ganga-Satluj plains in the north-west and black soil region of the Deccan.
"In which system of agriculture, a single crop is grown on a large area ?",Plantation agriculture.
Name some plantation crops.,"Tea, coffee, rubber rubber,, sugarcane and banana."
Which type of farming is intensive subsistence farming ?,Labour intensive farming.
Which two areas of India produce oranges mainly ?,Nagpur and Maharashtra Madhya Pradesh.
Which country is the first largest producer of rice ?,China.
India is the largest producer as well as consumer of which agricultural product in the world ? ,Pulses.
Which crop is used both as food and fodder ?,Maize.
Which crop is known as golden fibre ?,Jute. producer of ragi ?
Which state is the largest producer,Karnataka.
In which type of soil does maize grow well ?,Old alluvial.
