questions,answers
Define plantation agriculture. Explain any four characteristics of plantation agriculture. ,"Plantation Agriculture : It is a type of commercial farming practised in tropical and sub-tropical regions. It was introduced by the British in India. Characteristics :  A single crop is grown over large area.  It is capital intensive intensive and done with migrant labour. used as raw material in industries  All produce is used such as tea, coffee, rubber, sugarcane, banana, etc.  Plantation has interface of agriculture and industry both.  "
Explain Rubber cultivation in India under the following heads :  Importance  Geographical conditions  Producing states. ," Importance : Many industries depend upon Rubber as their raw material especially transport industry.  Geographical conditions :  It is an equatorial crop, but under special conditions it is also grown in tropical and subtropical areas.  It requires moist and humid climate with rainfall of more than 200 cm and temperature above 25°C.  Rubber producing states are Kerala, Kerala, Tamil Nadu, Karnataka, Andaman and Nicobar Islands and Garo hills of Meghalaya.  1+"
Explain any four features of primitive subsistence agriculture in India ? ,"Features of primitive subsistence agriculture in India are :  It is practised on small patches of land with the help of primitive tools.  Tools which which are are used are basically traditional tools such as hoe, dao and digging stick.  This type of agriculture totally depends depends upon monsoon.  When the soil fertility fertility decreases, the farmers shift to another plot of land."
What are millets ? Give brief description of the climatic conditions and producing states of the millets grown in India. ,"Millets are coarse grains but have high nutritional value e.g. ragi-rich in iron, calcium.  Jowar—Rain fed crops mostly grown in moist area. States producing—Maharas Maharashtra, htra, Karnataka Karn ataka and M.P. M.P.  Bajra—grown well on sandy soils & shallow black soil. States producing—Rajasthan, Maharashtra, Gujrat, Haryana and U.P.  Ragi—grown well in dry region on red, black, sandy and loamy soils. States producing—Tamil Nadu, Himachal Pradesh, Uttarakhand and Sikkim. "
What is intensive subsistence farming? Write three features of intensive farming. ," Intensive subsistence farming is practised in areas of high population pressure on land. In this type of farming, the agricultural production is increased by using high doses of biochemical inputs and better agricultural inputs.  Features of intensive farming :  High yielding variety  seeds and modern chemical inputs and irrigation are used to increase the production. The per hectare yield is very high. More than one crop is cultivated cultivated during a year."
Which crop is known as the ‘golden fibre’ ? Explain any two geographical conditions essential for the cultivation of this crop. Mention its any four uses.   ," Jute is called the golden fibre.  Geographical conditions :  Grows well in drained fertile soil of the flood plains where the soil is renewed every year.  High temperature is required during the time of growth. Uses : Can be used to manufacture gunny bags, mats, ropes, yarn, carpets and other artefacts.  1 + 2 + 2 = 5"
"Name any four oilseeds produced in India. Explain the importance of oilseeds in our day Term-I,  2016-17] to day life.[Board Term-I,"," Groundnut  Mustard  Coconut  Sesamun  Soyabean, sunflower, etc. Importance of oilseeds : Most of these are edible in the form of oil. Used as raw material for manufacturing paints, varnishes, soaps, perfumes etc, oil cake is used as cattle feed. Oil cake is also used as a fertiliser. "
Mention any two geographical conditions required for the growth of maize crop in India. Describe any three factors which have contributed to increase in maize production. ," Geographical conditions required for the growth of maize crop in India :  It is a kharif crop which requires temperature between 21°C to 27°C.  It grows well in alluvial soil.  Use of modern inputs such as HYV Seeds, fertilisers and irrigation have contributed to the increasing production of maize."
Explain any three geographical conditions required for the growth of rice in India. How is it possible to grow rice in areas of less rainfall ? Explain with examples. ," Three geographical conditions for the growth of rice :  It requires high temperature, .  Annual rainfall above 100 cm.  High humidity  It is possible to grow rice in areas of less rainfall with the help of irrigation in Punjab and Haryana.  "
What are the climatic conditions required for  the growth of rice ? ,"Climatic conditions required for the growth of rice :  It is a Kharif crop which which requires requires high temperature temperature .  High humidity with annual rainfall above 100 cm.  In the areas of less rainfall, it grows with the help of irrigation.  It is grown in the plains of north and north-eastern India, coastal areas and the deltaic regions.  Development of dense network of canal irrigation and tubewells have made it possible to grow rice in areas of less rainfall such as Punjab and Harayana."
