questions,answers
Define the term poikilotherms.,The cold blooded animals which change their body temperature according to the surroundings (do not possess a constant body temperature) are known as poikilotherms. They are also called cold blooded or ectothermic animals.
What are radiata ?,Radiata are animals having radial symmetry of their bodies.
What is open type circulatory system ?,A circulatory system in which the blood is not confined into blood vessels and bathes the cells as well as tissues is known as open type circulatory system.
Write a technical term for an animal having true body cavity.,Coelomate are animals having true body cavity.
What are bilateria ?,Animals with bilateral symmetry are called bilateria.
What is metamerism?,"In some animals the body is externally and internally divided into segments with a serial repetition of at least some organs E.g. Earthworm, Neries etc."
Name the special cells characteristics of coelenterates.,Nematoblast or nematocysts.
Name a sanguivorous annelid.,Hirudinaria ganulosa (Cattle leech).
What organs do echinoderms have for respiration and locomotion ?,Dermal branchiae for respiration and tube feet for locomotion.
Which sponge is used as a marriage gift?,An anti-coagulant hirudin from salivary glands of leech.
Name the toxin found in the cnidoblast of coelenterates.,The toxin is hypnotoxin. 
Name the larva found in mollusca and annelids.,Trochophore larva.
What do you understand by hermaphrodite ?,Animals having both male and female reproductive organs in a single individual are called hermaphrodite.
What is polymorphism ?,"The phenomenon where an organism have different kinds of zooids for different functions is called polymorphism e.g., cnidarians."
What are benthos ?,"Animals that live at the bottom of sea, oceans and lakes are called benthos. E.g., echinoderms."
What are worm castings ?,Compacted pellets of faeces of earthworm laid as heaps are called worm castings.
What is mantle ?,Mantle is a membranous projection of bodv whose edge secretes a shell of calcium carbonate to form a covering of body wall.
Name the type of mouth part found in Cockroach and Mosquito.,(i) Cockroach - Biting and chewing type. (ii) Mosquito - Piercing and sucking type. ½ + ½
What are choanocytes ?,"Collar cells that lines spongocoel and other canals in sponges, are called choanocytes."
what are flame cells ?,Flame cells are the excretory organs of Platyhelminthes and related animals which possess flickering cilia or flagella for driving the excretory products.
What is radula ?,Radula is a teeth like structure found in the buccal cavity of snail.
Why do parasitic tapeworms not have digestive tracts ?,parasitic tapeworm lacks alimentary canal because the digested food of the host is diffused directly through the general body surface.
What are green glands ?,Excretory organs of phylum Arthropoda are called green glands. 
Name two adaptations for an aerial mode of life.,"(i) Fore legs modified into wings. (ii) Uricotelic excretion and pneumatic bone. e.g., bird, crow, sparrow etc."
Why do the fishes belonging to class chondrichthyes have to swim constantly?,"Air bladder is absent in these fishes therefore, they have to swim constantly to avoid sinking."
Name the two classes of vertebrates whose heart is four – chambered?,Aves and Mammalia.
What unique features do mammals possess?,The unique features of mammals are presence of mammary glands and hairs on the skin.
Give an example of urochordata and cephalochordata ?,Doliolum and Branchiostoma.
What is the function of lateral line sense organs in fishes?,The lateral line sense organs in fishes helps in detection of current and waves in water.
Define pneumatic bones.,A bone that is hollow or contains many air cells.
Give one difference between cartilaginous and bony fishes.,"In cartilaginous fishes endoskeleton is made up of cartilages, while in bony fishes it is made up of bones."
What is aestivation ?,"Aestivation is a state of animal dormancy characterized by inactivity and a lowered metabolic rate, in response to high temperature and arid conditions."
Name a fish which has lungs in addition to gills.,Protopterus commonly called as lung fish.
What is the sound producing organs of the birds ?,Syrinx is the sound producing organs of the birds.
Name two flightless birds.,"Ostrich, Emu, Kiwi and Penguin.  (Any two) "
What is notochord?,"Notochord is a solid, cylindrical, rod like structure formed of vacuolated cells present in the mid dorsal body axis of the chordates. "
Name two division of vertebrata.,(i) Agatha  (ii) Gnathostomata 
Name any two poisonous snake.,Cobra and Krait.
Distinguish between Viviparous and Oviparous animals.,"Viviparous are animals which give birth to young ones of their own kind. e.g., Mammals. Oviparous are animals which lay eggs e.g., Reptiles, birds etc.  "
